RowId,Incidents
242,None
243,Medium
244,High
245,High
246,Very_High
247,Medium
248,Medium
249,None
250,High
251,Medium
252,None
253,Very_High
254,None
255,None
256,None
257,High
258,None
259,High
260,High
261,Medium
262,None
263,Low
264,High
265,Low
266,None
267,None
268,Low
269,None
270,Medium
271,Low
272,Medium
273,None
274,Very_High
275,None
276,None
277,Medium
278,Low
279,None
280,None
281,Medium
282,None
283,None
284,None
285,High
286,None
287,None
288,Low
289,None
290,Medium
291,None
292,None
293,None
294,None
295,Low
296,Low
297,Low
298,Very_High
299,None
300,Low
301,None
302,Medium
303,None
304,None
305,Medium
306,High
307,Medium
308,Medium
309,None
310,High
311,None
312,Medium
313,None
314,Low
315,None
316,Medium
317,None
318,High
319,High
320,High
321,Medium
322,High
323,Low
324,Very_High
325,Very_High
326,High
327,None
328,Medium
329,High
330,None
331,High
332,None
333,None
334,Medium
335,None
336,None
337,High
338,High
339,Very_High
340,Medium
341,None
342,None
343,High
344,None
345,High
346,None
347,Medium
348,None
349,Low
350,None
351,None
352,Very_High
353,None
354,Low
355,High
356,None
357,High
358,High
359,Low
360,Medium
361,None
362,None
363,High
364,None
365,High
366,High
367,None
368,Very_High
369,High
370,None
371,High
372,High
373,Very_High
374,None
375,High
376,None
377,None
378,None
379,Low
380,None
381,High
382,None
383,High
384,None
385,None
386,None
387,None
388,Medium
389,None
390,Low
391,High
392,None
393,None
394,None
395,None
396,High
397,Low
398,None
399,Low
400,Low
401,Low
402,Medium
403,High
404,Very_High
405,High
406,High
407,None
408,Very_High
409,None
410,None
411,None
412,None
413,Low
414,None
415,Very_High
416,Low
417,Low
418,Very_High
419,Low
420,None
421,Medium
422,Medium
423,Low
424,None
425,None
426,Medium
427,None
428,Medium
429,None
430,None
431,High
432,Very_High
433,Very_High
434,None
435,Medium
436,High
437,Very_High
438,Low
439,Low
440,High
441,Low
442,Very_High
443,High
444,Very_High
445,Very_High
446,Medium
447,None
448,High
449,Low
450,None
451,Medium
452,None
453,Very_High
454,None
455,Very_High
456,None
457,Low
458,Low
459,Low
460,None
461,None
462,None
463,High
464,Medium
465,Very_High
466,None
467,None
468,High
469,Low
470,Low
471,High
472,None
473,Medium
474,None
475,Very_High
476,Medium
477,High
478,High
479,None
480,None
481,Low
482,None
483,Very_High
484,None
485,Very_High
486,Medium
487,None
488,Low
489,None
490,High
491,None
492,None
493,Low
494,None
495,None
496,High
497,Low
498,Medium
499,None
500,None
501,None
502,None
503,None
504,High
505,Very_High
506,Medium
507,None
508,None
509,None
510,Very_High
511,None
512,Medium
513,High
514,Medium
515,None
516,None
517,Low
518,None
519,High
520,High
521,Very_High
522,High
523,None
524,Very_High
525,None
526,High
527,High
528,None
529,None
530,Low
531,Very_High
532,None
533,Medium
534,Medium
535,Medium
536,High
537,Medium
538,Low
539,None
540,High
541,Low
542,High
543,None
544,None
545,Medium
546,Very_High
547,Medium
548,High
549,Very_High
550,High
551,Medium
552,Medium
553,Low
554,High
555,None
556,None
557,High
558,High
559,High
560,Very_High
561,None
562,Medium
563,Medium
564,Very_High
565,Medium
566,Very_High
567,Medium
568,High
569,None
570,Very_High
571,Medium
572,None
573,None
574,High
575,High
576,High
577,High
578,None
579,None
580,Medium
581,None
582,Low
583,Very_High
584,High
585,High
586,High
587,None
588,None
589,None
590,Medium
591,High
592,High
593,Medium
594,High
595,None
596,Low
597,Low
598,None
599,Very_High
600,High
601,None
602,Low
603,None
604,None
605,High
606,High
607,None
608,Medium
609,None
610,None
611,None
612,None
613,Low
614,High
615,Low
616,None
617,Very_High
618,Low
619,None
620,High
621,None
622,Medium
623,None
624,Medium
625,High
626,High
627,Very_High
628,High
629,High
630,None
631,Low
632,None
633,None
634,None
635,Very_High
636,None
637,High
638,Very_High
639,None
640,Low
641,None
642,None
643,High
644,None
645,None
646,None
647,None
648,None
649,None
650,High
651,None
652,High
653,Low
654,Medium
655,Medium
656,Low
657,None
658,None
659,None
660,None
661,High
662,High
663,High
664,None
665,Low
666,High
667,None
668,Very_High
669,None
670,Low
671,Low
672,Very_High
673,None
674,Medium
675,Very_High
676,None
677,High
678,None
679,None
680,High
681,Very_High
682,None
683,None
684,None
685,Low
686,Very_High
687,Low
688,Low
689,None
690,High
691,High
692,Low
693,None
694,Very_High
695,None
696,High
697,Very_High
698,Very_High
699,None
700,Low
701,None
702,Low
703,Very_High
704,Low
705,High
706,High
707,Very_High
708,High
709,Low
710,Very_High
711,None
712,High
713,Very_High
714,High
715,High
716,None
717,Medium
718,High
719,None
720,Low
721,Very_High
722,None
723,Very_High
724,Low
725,None
726,None
727,None
728,Low
729,None
730,None
731,Medium
732,None
733,Very_High
734,High
735,High
736,High
737,Very_High
738,High
739,High
740,None
741,Low
742,Very_High
743,None
744,None
745,High
746,Very_High
747,Low
748,Very_High
749,High
750,High
751,Low
752,None
753,Medium
754,Low
755,None
756,Low
757,Medium
758,Very_High
759,Very_High
760,None
761,None
762,None
763,Low
764,None
765,Very_High
766,None
767,Very_High
768,High
769,None
770,Very_High
771,Very_High
772,None
773,High
774,High
775,Very_High
776,Medium
777,None
778,Very_High
779,Very_High
780,High
781,Medium
782,Low
783,None
784,None
785,Low
786,Medium
787,High
788,High
789,Low
790,High
791,High
792,None
793,High
794,None
795,High
796,Medium
797,Very_High
798,Medium
799,None
800,Very_High
801,None
802,None
803,High
804,Medium
805,High
806,None
807,Very_High
808,Medium
809,Very_High
810,None
811,Medium
812,None
813,High
814,None
815,Very_High
816,Low
817,None
818,Medium
819,Low
820,High
821,None
822,Low
823,Low
824,None
825,Low
826,High
827,None
828,Medium
829,High
830,Very_High
831,High
832,None
833,Low
834,None
835,None
836,Very_High
837,High
838,High
839,High
840,Very_High
841,Medium
842,High
843,None
844,Low
845,Very_High
846,Very_High
847,None
848,None
849,Very_High
850,Medium
851,High
852,High
853,None
854,Medium
855,High
856,None
857,High
858,Low
859,None
860,None
861,None
862,Low
863,Low
864,Low
865,High
866,None
867,Medium
868,Very_High
869,Medium
870,None
871,Low
872,Low
873,High
874,Medium
875,High
876,None
877,Medium
878,High
879,None
880,High
881,Medium
882,None
883,Medium
884,None
885,High
886,None
887,Very_High
888,Very_High
889,None
890,Very_High
891,None
892,Very_High
893,High
894,Medium
895,None
896,Low
897,None
898,Low
899,Low
900,Medium
901,Very_High
902,None
903,Very_High
904,None
905,None
906,None
907,High
908,None
909,High
910,Medium
911,None
912,None
913,None
914,None
915,Low
916,High
917,None
918,Medium
919,Very_High
920,Very_High
921,Medium
922,High
923,High
924,Very_High
925,None
926,Medium
927,Very_High
928,High
929,Medium
930,None
931,None
932,High
933,High
934,Low
935,None
936,None
937,Very_High
938,None
939,High
940,None
941,None
942,None
943,Low
944,High
945,High
946,None
947,Low
948,None
949,None
950,High
951,Low
952,None
953,Very_High
954,Low
955,None
956,None
957,None
958,Medium
959,High
960,Medium
961,Very_High
962,High
963,None
964,Low
965,None
966,High
967,High
968,Medium
969,High
970,None
971,Very_High
972,High
973,Medium
974,Medium
975,None
976,Medium
977,High
978,None
979,Very_High
980,None
981,None
982,Medium
983,High
984,None
985,High
986,Medium
987,High
988,None
989,None
990,Very_High
991,Medium
992,High
993,Low
994,Very_High
995,Low
996,Very_High
997,None
998,Low
999,Low
1000,Medium
1001,None
1002,High
1003,Medium
1004,None
1005,None
1006,None
1007,None
1008,Medium
1009,None
1010,None
1011,Very_High
1012,None
1013,None
1014,None
1015,None
1016,Low
1017,None
1018,High
1019,Medium
1020,None
1021,None
1022,None
1023,Medium
1024,None
1025,High
1026,Low
1027,Medium
1028,None
1029,Low
1030,High
1031,Low
1032,None
1033,Low
1034,None
1035,High
1036,Low
1037,None
1038,High
1039,None
1040,Very_High
1041,None
1042,High
1043,None
1044,High
1045,None
1046,High
1047,High
1048,None
1049,None
1050,Very_High
1051,Very_High
1052,High
1053,Low
1054,High
1055,High
1056,High
1057,None
1058,Very_High
1059,Medium
1060,Very_High
1061,Very_High
1062,None
1063,Medium
1064,High
1065,Very_High
1066,Medium
1067,High
1068,Very_High
1069,None
1070,Medium
1071,Low
1072,Very_High
1073,None
1074,Medium
1075,Low
1076,None
1077,Very_High
1078,Very_High
1079,High
1080,None
1081,Low
1082,High
1083,None
1084,None
1085,High
1086,None
1087,Very_High
1088,Very_High
1089,None
1090,Medium
1091,High
1092,None
1093,High
1094,Medium
1095,None
1096,Very_High
1097,High
1098,None
1099,None
1100,None
1101,None
1102,None
1103,None
1104,Medium
1105,Medium
1106,None
1107,None
1108,Low
1109,Very_High
1110,None
1111,High
1112,None
1113,None
1114,None
1115,High
1116,Medium
1117,None
1118,Medium
1119,Low
1120,None
1121,Very_High
1122,None
1123,None
1124,Low
1125,Low
1126,None
1127,Low
1128,High
1129,None
1130,High
1131,None
1132,None
1133,Medium
1134,High
1135,Very_High
1136,None
1137,High
1138,Low
1139,Low
1140,High
1141,High
1142,Low
1143,Medium
1144,None
1145,High
1146,Low
1147,High
1148,High
1149,None
1150,None
1151,None
1152,None
1153,Very_High
1154,None
1155,High
1156,None
1157,High
1158,High
1159,None
1160,Very_High
1161,None
1162,Medium
1163,Low
1164,None
1165,None
1166,Medium
1167,None
1168,None
1169,High
1170,Very_High
1171,Low
1172,None
1173,None
1174,None
1175,None
1176,None
1177,High
1178,None
1179,None
1180,Medium
1181,Medium
1182,High
1183,None
1184,High
1185,Low
1186,Low
1187,None
1188,High
1189,High
1190,Low
1191,High
1192,Medium
1193,High
1194,None
1195,Low
1196,None
1197,None
1198,High
1199,None
1200,Very_High
1201,None
1202,None
1203,Low
1204,Medium
1205,None
1206,None
